rental_duration,rental_rate,length,replacement_cost,category_name,is_popular
3,0.99,46,28.99,New,1
3,4.99,104,18.99,Animation,1
7,2.99,158,16.99,Travel,1
6,2.99,65,12.99,Action,1
6,2.99,74,22.99,Family,0
5,0.99,46,25.99,Drama,1
3,4.99,166,12.99,New,1
4,0.99,126,23.99,Action,1
4,0.99,156,10.99,Family,1
5,0.99,176,17.99,Documentary,1
4,0.99,108,28.99,Action,1
7,2.99,185,25.99,Animation,1
6,0.99,153,20.99,Sci-Fi,1
7,0.99,132,28.99,Documentary,1
4,4.99,84,20.99,Sci-Fi,0
5,4.99,152,12.99,Classics,1
5,4.99,86,11.99,Horror,1
5,4.99,49,13.99,Music,0
4,4.99,54,23.99,Sports,0
6,2.99,91,24.99,New,1
5,0.99,138,20.99,Sci-Fi,1
5,0.99,82,13.99,Classics,1
7,4.99,113,14.99,Children,0
5,4.99,102,21.99,Foreign,1
7,2.99,114,22.99,Sci-Fi,1
4,2.99,57,29.99,Children,0
7,0.99,150,21.99,Children,1
7,2.99,89,16.99,Animation,0
7,4.99,114,21.99,Family,1
5,2.99,57,12.99,Children,1
4,2.99,98,21.99,Foreign,1
3,0.99,84,20.99,Animation,1
5,4.99,109,22.99,Sci-Fi,1
3,2.99,171,29.99,Games,1
4,0.99,177,28.99,Animation,1
6,2.99,69,17.99,Drama,1
6,2.99,90,25.99,Games,1
7,4.99,161,21.99,Foreign,1
4,2.99,147,24.99,Horror,1
7,2.99,61,29.99,Foreign,0
3,2.99,172,25.99,New,1
4,0.99,100,9.99,Documentary,0
6,2.99,68,13.99,Sci-Fi,1
7,4.99,72,19.99,Horror,1
3,2.99,84,23.99,Horror,1
4,2.99,137,9.99,Comedy,0
3,4.99,148,11.99,Comedy,1
4,4.99,74,23.99,Foreign,0
4,0.99,113,13.99,Games,0
3,0.99,137,21.99,Games,1
6,4.99,63,20.99,Documentary,0
7,4.99,73,18.99,New,0
7,0.99,60,27.99,Animation,1
7,4.99,179,17.99,Travel,1
7,2.99,156,23.99,Comedy,1
3,0.99,161,17.99,Family,1
6,2.99,65,27.99,Sci-Fi,1
5,4.99,163,22.99,Drama,1
4,0.99,63,29.99,Documentary,1
6,0.99,136,22.99,Music,1
4,0.99,122,14.99,New,1
3,4.99,75,26.99,Sports,1
4,4.99,154,21.99,Comedy,1
7,0.99,179,12.99,Sports,1
5,2.99,90,13.99,Children,1
3,0.99,160,15.99,Sports,1
3,2.99,118,22.99,Drama,1
3,4.99,164,26.99,Animation,1
4,4.99,172,20.99,Sci-Fi,1
5,4.99,110,25.99,Classics,1
3,0.99,164,27.99,Documentary,1
4,4.99,126,24.99,Horror,1
7,4.99,61,24.99,New,0
4,2.99,169,21.99,New,1
6,0.99,87,23.99,Sci-Fi,1
7,0.99,101,25.99,Games,0
6,2.99,146,25.99,Family,1
7,0.99,127,12.99,Animation,0
4,0.99,178,14.99,Foreign,1
4,4.99,67,14.99,Horror,1
4,4.99,120,18.99,Family,1
3,4.99,178,26.99,Foreign,1
5,4.99,163,11.99,Foreign,1
3,4.99,179,16.99,Action,0
3,2.99,184,11.99,Animation,1
4,2.99,173,11.99,Games,0
4,0.99,103,23.99,Music,0
5,4.99,128,21.99,Foreign,1
4,2.99,185,26.99,Action,1
5,0.99,146,14.99,Sci-Fi,1
4,0.99,109,16.99,Action,1
3,0.99,171,13.99,Horror,0
6,2.99,141,21.99,Family,1
5,4.99,102,21.99,Animation,1
4,4.99,73,12.99,Drama,1
7,0.99,110,24.99,Action,1
6,2.99,60,26.99,Sports,1
5,4.99,150,19.99,Sports,1
4,2.99,73,29.99,New,1
5,2.99,100,29.99,Sports,1
6,4.99,173,20.99,Family,0
7,0.99,55,13.99,Travel,1
3,0.99,71,13.99,Family,0
3,0.99,82,14.99,Music,1
5,2.99,84,29.99,Children,1
6,4.99,63,24.99,Sports,1
6,0.99,110,10.99,Foreign,1
7,0.99,183,10.99,Foreign,0
4,2.99,60,29.99,Travel,0
7,4.99,46,27.99,Classics,1
7,2.99,167,20.99,Travel,1
5,0.99,84,25.99,Drama,1
5,2.99,172,24.99,Sports,1
7,4.99,80,26.99,Foreign,1
6,4.99,159,29.99,Sports,1
5,4.99,153,9.99,Drama,1
4,4.99,151,28.99,Drama,1
4,2.99,121,13.99,New,0
7,2.99,120,13.99,Travel,0
4,0.99,74,18.99,Children,1
7,0.99,58,15.99,New,0
3,4.99,89,22.99,Classics,1
7,4.99,92,9.99,Family,1
6,2.99,112,28.99,Sports,1
6,2.99,94,14.99,Children,0
6,4.99,181,29.99,Animation,1
6,4.99,139,26.99,Comedy,1
6,2.99,181,19.99,Horror,1
4,2.99,67,20.99,Documentary,1
4,0.99,50,24.99,Family,1
6,2.99,124,16.99,Music,1
4,4.99,67,9.99,Documentary,1
5,2.99,177,27.99,Family,1
7,2.99,101,9.99,Documentary,1
5,2.99,131,29.99,Games,1
3,2.99,75,29.99,Classics,0
7,4.99,185,27.99,Sci-Fi,0
6,2.99,125,22.99,Foreign,1
6,2.99,100,23.99,Foreign,0
5,2.99,93,24.99,Music,1
5,4.99,178,11.99,Games,1
4,4.99,77,11.99,Comedy,1
7,0.99,143,29.99,Children,0
5,4.99,80,28.99,Sports,1
4,4.99,152,18.99,Sports,1
3,4.99,174,24.99,Travel,0
6,0.99,112,28.99,Horror,0
4,4.99,155,19.99,Music,0
7,4.99,147,28.99,Drama,1
5,2.99,167,27.99,Action,1
5,2.99,170,10.99,Sports,1
5,4.99,153,23.99,Foreign,0
6,4.99,170,22.99,Sports,1
7,2.99,146,26.99,New,0
6,4.99,154,14.99,Sports,1
5,4.99,60,19.99,Drama,1
7,0.99,69,29.99,Classics,0
6,2.99,145,29.99,Animation,0
4,4.99,56,20.99,New,1
6,4.99,167,18.99,Animation,1
3,0.99,51,26.99,Horror,0
4,0.99,54,14.99,Animation,1
5,4.99,84,9.99,New,1
5,4.99,168,28.99,Comedy,1
6,2.99,180,26.99,Foreign,0
5,4.99,61,18.99,Action,1
5,4.99,120,28.99,Foreign,1
4,0.99,103,27.99,Children,1
7,0.99,114,13.99,Classics,0
3,0.99,157,10.99,Children,1
7,4.99,103,11.99,Foreign,1
5,4.99,172,23.99,Classics,1
4,4.99,126,11.99,New,1
3,2.99,169,17.99,Foreign,1
3,2.99,179,16.99,Documentary,1
3,4.99,149,25.99,Games,1
7,0.99,99,29.99,Classics,1
7,4.99,73,17.99,Classics,1
4,4.99,109,11.99,Foreign,1
3,2.99,185,27.99,Travel,1
6,0.99,97,23.99,Action,1
3,2.99,52,9.99,Sci-Fi,1
6,0.99,168,10.99,Drama,0
5,4.99,140,15.99,Travel,1
7,2.99,85,14.99,New,1
6,2.99,94,27.99,Sci-Fi,1
6,2.99,150,17.99,Comedy,0
4,4.99,74,11.99,Sci-Fi,1
3,2.99,70,22.99,Sports,1
5,2.99,77,24.99,Action,1
5,0.99,156,14.99,Sports,1
3,2.99,71,18.99,New,0
3,4.99,100,25.99,Family,1
5,4.99,99,22.99,Documentary,1
7,2.99,160,10.99,New,1
6,4.99,163,14.99,Travel,1
6,0.99,101,27.99,Music,0
4,0.99,64,11.99,Sports,1
5,2.99,71,29.99,Sci-Fi,1
3,4.99,83,22.99,Comedy,1
4,4.99,59,17.99,New,1
7,0.99,129,17.99,Family,1
7,0.99,129,15.99,Sci-Fi,1
6,2.99,107,28.99,Music,1
4,0.99,171,28.99,Action,1
7,0.99,59,18.99,Music,0
4,4.99,59,24.99,Sci-Fi,1
4,0.99,123,12.99,Horror,1
5,0.99,70,18.99,Family,1
4,0.99,159,25.99,Documentary,0
4,0.99,144,9.99,Travel,1
3,4.99,102,15.99,Horror,0
3,0.99,118,10.99,Games,1
4,0.99,103,24.99,Action,1
7,4.99,64,14.99,Action,1
3,4.99,112,16.99,Sci-Fi,0
7,2.99,132,15.99,Action,0
3,0.99,91,13.99,Animation,1
7,0.99,52,11.99,Classics,1
5,0.99,118,15.99,Music,0
5,4.99,121,18.99,Drama,1
6,4.99,59,13.99,Horror,0
6,4.99,80,20.99,Travel,1
4,2.99,151,15.99,Animation,1
3,0.99,99,11.99,Foreign,0
6,2.99,46,24.99,Children,1
6,2.99,105,22.99,Children,1
7,0.99,86,9.99,Family,1
6,4.99,183,14.99,New,0
7,4.99,78,10.99,Foreign,1
7,2.99,115,13.99,Games,0
3,2.99,162,19.99,Animation,0
5,2.99,150,22.99,Sci-Fi,1
6,2.99,135,18.99,Action,1
6,4.99,98,15.99,Classics,1
5,0.99,147,21.99,Family,1
6,4.99,85,18.99,Children,1
6,0.99,61,12.99,Children,1
7,2.99,152,17.99,Documentary,0
7,2.99,126,19.99,Horror,1
4,4.99,93,19.99,Games,1
6,4.99,70,27.99,Music,0
5,2.99,153,20.99,Animation,1
7,4.99,137,16.99,Sports,1
5,0.99,92,18.99,Foreign,1
6,0.99,94,23.99,Classics,0
5,4.99,148,12.99,Action,1
7,0.99,50,13.99,Documentary,1
3,2.99,126,20.99,Foreign,0
3,0.99,118,19.99,Music,1
7,0.99,53,16.99,Action,1
6,4.99,144,18.99,Games,0
4,2.99,185,27.99,Animation,1
3,2.99,176,12.99,Foreign,0
7,4.99,185,14.99,Action,1
4,0.99,179,14.99,Music,0
7,4.99,185,9.99,Comedy,0
3,0.99,145,25.99,New,0
5,0.99,133,23.99,Comedy,0
6,2.99,180,21.99,Animation,1
3,2.99,52,28.99,Action,1
5,2.99,97,12.99,Children,1
7,0.99,166,14.99,Drama,1
4,2.99,92,19.99,Documentary,1
3,2.99,116,13.99,Music,1
7,2.99,72,15.99,Documentary,0
5,2.99,110,15.99,Family,1
6,4.99,180,13.99,Music,1
4,0.99,141,27.99,Classics,1
3,0.99,51,20.99,Action,1
3,4.99,141,9.99,Action,1
5,2.99,84,16.99,Children,1
5,2.99,110,21.99,New,1
5,2.99,108,27.99,Action,1
6,4.99,132,10.99,New,0
3,2.99,179,10.99,Animation,1
5,0.99,75,26.99,Games,1
4,0.99,82,11.99,Documentary,0
3,0.99,83,18.99,Sci-Fi,1
5,2.99,100,11.99,Classics,1
3,4.99,118,24.99,Children,1
7,2.99,161,11.99,Family,0
5,4.99,184,12.99,Games,1
4,4.99,79,23.99,Music,0
5,4.99,51,13.99,Children,1
4,0.99,99,24.99,Drama,1
3,4.99,111,12.99,Games,1
6,0.99,184,17.99,Foreign,1
4,2.99,89,12.99,Horror,1
6,0.99,68,23.99,Travel,1
6,4.99,175,21.99,Music,1
3,4.99,111,28.99,Children,1
4,0.99,181,24.99,New,0
4,4.99,175,11.99,Children,1
6,0.99,183,9.99,Documentary,0
5,0.99,52,28.99,Action,1
6,2.99,50,17.99,Family,1
6,0.99,180,20.99,Music,0
6,4.99,127,26.99,Games,1
6,2.99,69,18.99,Animation,1
4,2.99,161,11.99,Animation,1
5,2.99,153,15.99,Drama,0
5,0.99,176,19.99,Action,1
5,4.99,145,10.99,New,0
5,0.99,174,10.99,Sports,1
5,0.99,119,17.99,Family,0
6,2.99,65,24.99,Family,1
5,4.99,139,26.99,Music,1
4,0.99,87,25.99,Games,1
3,2.99,121,28.99,Classics,1
7,2.99,97,10.99,Music,1
4,2.99,175,22.99,Horror,1
6,2.99,73,29.99,Sci-Fi,0
3,4.99,74,14.99,Documentary,0
3,4.99,183,27.99,Documentary,1
4,4.99,88,17.99,Games,1
7,0.99,163,27.99,Action,1
4,2.99,184,27.99,Classics,0
6,4.99,60,16.99,Children,0
4,4.99,159,29.99,Drama,1
6,0.99,53,27.99,Children,0
3,4.99,132,9.99,Sports,1
4,0.99,160,10.99,Comedy,1
6,2.99,166,11.99,Children,1
3,0.99,137,18.99,Foreign,1
4,0.99,107,26.99,Comedy,0
6,2.99,85,24.99,Animation,1
4,2.99,106,28.99,Documentary,1
7,0.99,128,9.99,Documentary,1
7,4.99,92,9.99,Action,1
3,2.99,53,27.99,Classics,0
4,0.99,139,29.99,New,0
3,0.99,47,19.99,Comedy,1
7,2.99,107,11.99,Comedy,1
5,2.99,153,13.99,Horror,0
4,2.99,116,15.99,Animation,0
7,2.99,126,16.99,Music,1
6,4.99,54,15.99,Horror,1
6,0.99,62,29.99,Horror,1
4,0.99,137,17.99,Travel,0
7,2.99,139,26.99,Travel,1
